Player,Date,penatly,position,Team,response,Ref.
Alex Sánchez,4/3/2005,10 days,OF,Tampa Bay Rays,[a],[5]
Troy Cate,4/4/2005,15 games,P,Seattle Mariners,,[80]
Willie Collazo,4/4/2005,15 games,P,Los Angeles Angels of Anaheim,,[80]
Francisco Córdova,4/4/2005,15 games,P,Los Angeles Angels of Anaheim,,[80]
Jesús Guzmán,4/4/2005,15 games,P,Seattle Mariners,,[80]
Clay Hensley,4/4/2005,15 games,P,San Diego Padres,,[80]
Robert Machado,4/4/2005,15 games,C,Texas Rangers,,[80]
Damian Moss,4/4/2005,15 games,P,Seattle Mariners,,[81]
Jon Nunnally,4/6/2005,15 games,OF,Pittsburgh Pirates,,[82]
Tom Evans,4/6/2005,15 games,3B,Pittsburgh Pirates,,[82]
Julius Matos,4/6/2005,15 games,UT,Toronto Blue Jays,,[83]
Brian Mallette (2),4/6/2005,30 games,P,Pittsburgh Pirates,,[82]
Agustín Montero,4/20/2005,10 days,P,Texas Rangers,[b],[7]
Ricardo Rodríguez,4/22/2005,15 games,P,Atlanta Braves,,[84]
Grant Roberts,4/22/2005,15 games,P,New York Mets,,[85]
Eider Torres,4/22/2005,15 games,2B,Cleveland Indians,,[84]
Jamal Strong,4/26/2005,10 days,OF,Seattle Mariners,[c],[9]
Juan Rincón,5/2/2005,10 days,P,Minnesota Twins,[d],[9]
Randy Ruiz,5/3/2005,15 games,1B,Philadelphia Phillies,,[86]
Darnell McDonald,5/6/2005,15 games,OF,Cleveland Indians,,[84]
Guillermo Rodríguez,5/12/2005,15 games,C,San Francisco Giants,,[84]
Jonathan Herrera,5/12/2005,15 games,UT,Colorado Rockies,,[84]
Steve Smyth,5/12/2005,15 games,OF,Oakland Athletics,,[84]
Jorge Toca,5/12/2005,15 games,1B,Chicago White Sox,,[84]
Christian Parker,5/12/2005,15 games,P,Colorado Rockies,,[84]
Luis Ugueto,5/13/2005,15 games,UT,Kansas City Royals,,[84]
Wilson Delgado,5/13/2005,15 games,SS,Florida Marlins,,[84]
Ramón A. Castro (2),7/1/2005,105 games,UT,Washington Nationals,,[84]
Josh Labandeira,7/1/2005,15 games,SS,Washington Nationals,,[84]
Rafael Betancourt,7/8/2005,10 days,P,Cleveland Indians,[e],[12]
Matt Whiteside,7/15/2005,15 games,P,Toronto Blue Jays,,[84]
Randy Ruiz (2),7/22/2005,30 games,1B,Philadelphia Phillies,,[87]
Rafael Palmeiro SS GG,8/1/2005,10 days,DH,Baltimore Orioles,[f],[14]
Ryan Franklindagger,8/2/2005,10 days,P,Seattle Mariners,[g],[16]
Wilson Delgado (2),8/12/2005,30 games,SS,Florida Marlins,,[84]
Luis Ugueto (2),8/16/2005,30 games,UT,Kansas City Royals,,[84]
Mike Morse,9/7/2005,10 days,SS,Seattle Mariners,[h],[18]
Carlos Almanzar,10/4/2005,10 days,P,Texas Rangers,[i],[20]
Félix Heredia,10/18/2005,10 days,P,New York Mets,[j],[22]
Matt Lawton,11/2/2005,10 days,OF,New York Yankees,[k],[24]
Ramón Ramírez,4/11/2006,50 games,P,Cincinnati Reds,,[84]
Yusaku Iriki,4/28/2006,50 games,P,New York Mets,[l],[26]
Nerio Rodríguez,5/19/2006,50 games,P,Pittsburgh Pirates,,[84]
Abraham Núñez,5/24/2006,50 games,OF,San Francisco Giants,,[84]
Yamid Haad,5/31/2006,50 games,C,San Francisco Giants,,[84]
Jason Grimsleydagger,6/12/2006,50 games,P,Arizona Diamondbacks,[m],[28]
Daniel McCutchen,8/8/2006,50 games,P,New York Yankees,,[88]
Guillermo Mota,11/1/2006,50 games,P,New York Mets,[n],[30]
Juan Salas,5/7/2007,50 games,P,Tampa Bay Rays,[o],[32]
Francisco Cruceta,5/9/2007,50 games,P,Texas Rangers,,[89]
Lino Urdaneta,5/16/2007,50 games,P,New York Mets,,[90]
Neifi Pérez GG,7/6/2007,25 games,UT,Detroit Tigers,[p],[35]
Ángel Salomé,7/24/2007,50 games,C,Milwaukee Brewers,,[91]
Neifi Pérez (2) GG,8/3/2007,80 games,UT,Detroit Tigers,[p],[36]
Ryan Jorgensen,9/7/2007,50 games,C,Cincinnati Reds,,[92]
Luther Hackman,10/30/2007,50 games,P,Texas Rangers,,[93]
Mike Cameron GG,10/31/2007,25 games,OF,San Diego Padres,[q],[38]
Dan Serafini,11/27/2007,50 games,P,Colorado Rockies,[r],[40]
José Guilléndagger,12/6/2007,15 games,OF,Kansas City Royals,[s],[42]
Jay Gibbonsdagger,12/6/2007,15 games,OF,Baltimore Orioles,[t],[44]
Jordan Schafer,4/8/2008,50 games,OF,Atlanta Braves,,[94]
Eliézer Alfonzo,4/30/2008,50 games,C,San Francisco Giants,[u],[45]
Humberto Cota,5/28/2008,50 games,C,Colorado Rockies,,[95]
Jorge Sosa,8/21/2008,50 games,P,Seattle Mariners,,[96]
Runelvys Hernández,9/6/2008,50 games,P,Houston Astros,,[97]
Henry Owens,11/11/2008,50 games,P,Florida Marlins,,[98]
J. C. Romero,1/6/2009,50 games,P,Philadelphia Phillies,[v],[47]
Sergio Mitre,1/6/2009,50 games,P,New York Yankees,,[99]
Manny Ramirez SS,5/7/2009,50 games,OF,Los Angeles Dodgers,[w],[49]
Pablo Ozuna,6/11/2009,50 games,UT,Philadelphia Phillies,,[100]
Edinson Vólquez,4/20/2010,50 games,P,Cincinnati Reds,[x],[51]
Prentice Redman,6/25/2010,50 games,OF,Los Angeles Dodgers,,[101]
Prentice Redman (2),7/27/2010,100 games,OF,Los Angeles Dodgers,,[102]
Pedro López,7/27/2010,50 games,SS,Washington Nationals,,[102]
Omar Quintanilla,8/11/2010,50 games,UT,Colorado Rockies,,[103]
Matt Kinney,8/24/2010,50 games,P,San Francisco Giants,,[104]
Manny Ramirez (2) SS,4/8/2011,100 games,OF,Tampa Bay Rays,[y],[52]
Kevin Frandsen,5/11/2011,50 games,3B,Philadelphia Phillies,,[105]
Eliézer Alfonzo (2),9/14/2011,48 games[A],C,Colorado Rockies,,[53]
Guillermo Mota (2),5/7/2012,100 games,P,San Francisco Giants,,[54]
Freddy Galvis,6/19/2012,50 games,UT,Philadelphia Phillies,[z],[55]
Marlon Byrd,6/25/2012,50 games,OF,Free agent,[aa],[56]
Melky Cabrera,8/15/2012,50 games,OF,San Francisco Giants,[ab],[57]
Bartolo Colón,8/22/2012,50 games,P,Oakland Athletics,[ac],[58]
Yasmani Grandal,11/7/2012,50 games,C,San Diego Padres,[ad],[60]
Carlos Ruiz,11/27/2012,25 games,C,Philadelphia Phillies,[ae],[61]
Daniel McCutchen (2),4/6/2013,50 games,P,Baltimore Orioles,,[106]
Ryan Braun SS MVP,7/22/2013,Season (65 games),OF,Milwaukee Brewers,[af],[62]
Alex Rodriguez SS GG MVP,8/5/2013,2014 season (162 games)^[B],3B,New York Yankees,[ak],[70]
Nelson Cruz,8/5/2013,50 games,OF,Texas Rangers,[ag],[63]
Jhonny Peralta,8/5/2013,50 games,SS,Detroit Tigers,[ah],[64]
Everth Cabrera,8/5/2013,50 games,SS,San Diego Padres,,[65]
Antonio Bastardo,8/5/2013,50 games,P,Philadelphia Phillies,[ai],[66]
Francisco Cervelli,8/5/2013,50 games,C,New York Yankees,[aj],[67]
Jordany Valdespin,8/5/2013,50 games,OF,New York Mets,[ar],[107]
Jesús Montero,8/5/2013,50 games,C,Seattle Mariners,[as],[108]
Sergio Escalona,8/5/2013,50 games,P,Houston Astros,[at],[109]
Fernando Martínez,8/5/2013,50 games,OF,New York Yankees,,[110]
César Puello,8/5/2013,50 games,OF,New York Mets,[ax],[114]
Fautino de los Santos,8/5/2013,50 games,P,Free agent,,[115]
Jordan Norberto,8/5/2013,50 games,P,Free agent,,[116]
Miguel Tejadadagger SS MVP,8/17/2013,105 games^,UT,Kansas City Royals,[al],[72]
Ryan Baker,12/4/2013,50 games,C,New York Yankees,,[117]
Troy Patton,12/20/2013,25 games,P,Baltimore Orioles,[am],[73]
Álex Colomé,3/24/2014,50 games,P,Tampa Bay Rays,[au],[111]
Martire Garcia,4/10/2014,50 games,P,Texas Rangers,,[118]
Ji-man Choi,4/17/2014,50 games,1B,Seattle Mariners,[ay],[119]
Eddie Gamboa,6/13/2014,50 games,P,Baltimore Orioles,,[120]
Cameron Maybin,7/23/2014,25 games,OF,San Diego Padres,[an],[74]
Moises Cedeno,3/19/2015,72 games,,New York Yankees,,[121]
David Rollins,3/27/2015,80 games,P,Seattle Mariners,,
Arodys Vizcaíno,4/2/2015,80 games,P,Atlanta Braves,[av],[112]
Ervin Santana,4/3/2015,80 games,P,Minnesota Twins,[ao],[75]
Jenrry Mejía,4/11/2015,80 games,P,New York Mets,[ap],[76]
Andrew McKirahan,4/20/2015,80 games,P,Atlanta Braves,[aq],[77]
Javy Guerra,7/8/2015,50 games,P,Chicago White Sox,[aw],[113]
Jenrry Mejía (2),7/28/2015,162 games^,P,New York Mets,,[78]
Cody Stanley,9/12/2015,80 games,C,St. Louis Cardinals,,[79]
Jenrry Mejía (3),2/12/2016,Lifetime Ban^,P,New York Mets,,
Abraham Almonte,2/26/2016,80 games,OF,Cleveland Indians,,
